session_date,hour,price_pt_eur_mwh,price_es_eur_mwh,source_filename,source_kind
2023-01-01,1,0.0,0.0,marginalpdbcpt_20230101.1,native_1h
2023-01-01,2,0.0,0.0,marginalpdbcpt_20230101.1,native_1h
2023-01-01,3,0.0,0.0,marginalpdbcpt_20230101.1,native_1h
2023-01-01,4,0.0,0.0,marginalpdbcpt_20230101.1,native_1h
2023-01-01,5,0.0,0.0,marginalpdbcpt_20230101.1,native_1h
2023-01-01,6,0.0,0.0,marginalpdbcpt_20230101.1,native_1h
2023-01-01,7,0.0,0.0,marginalpdbcpt_20230101.1,native_1h
2023-01-01,8,0.0,0.0,marginalpdbcpt_20230101.1,native_1h
2023-01-01,9,0.0,0.0,marginalpdbcpt_20230101.1,native_1h
2023-01-01,10,0.0,0.0,marginalpdbcpt_20230101.1,native_1h
2023-01-01,11,0.0,0.0,marginalpdbcpt_20230101.1,native_1h
2023-01-01,12,0.0,0.0,marginalpdbcpt_20230101.1,native_1h
2023-01-01,13,0.0,0.0,marginalpdbcpt_20230101.1,native_1h
2023-01-01,14,0.1,0.1,marginalpdbcpt_20230101.1,native_1h
2023-01-01,15,0.1,0.1,marginalpdbcpt_20230101.1,native_1h
2023-01-01,16,0.01,0.01,marginalpdbcpt_20230101.1,native_1h
2023-01-01,17,1.0,1.0,marginalpdbcpt_20230101.1,native_1h
2023-01-01,18,4.16,4.16,marginalpdbcpt_20230101.1,native_1h
2023-01-01,19,15.1,15.1,marginalpdbcpt_20230101.1,native_1h
2023-01-01,20,19.51,19.51,marginalpdbcpt_20230101.1,native_1h
2023-01-01,21,24.61,24.61,marginalpdbcpt_20230101.1,native_1h
2023-01-01,22,40.07,40.07,marginalpdbcpt_20230101.1,native_1h
2023-01-01,23,40.07,40.07,marginalpdbcpt_20230101.1,native_1h
2023-01-01,24,16.0,16.0,marginalpdbcpt_20230101.1,native_1h
2023-01-02,1,61.38,61.38,marginalpdbcpt_20230102.1,native_1h
2023-01-02,2,42.17,42.17,marginalpdbcpt_20230102.1,native_1h
2023-01-02,3,42.0,42.0,marginalpdbcpt_20230102.1,native_1h
2023-01-02,4,42.07,42.07,marginalpdbcpt_20230102.1,native_1h
2023-01-02,5,42.17,42.17,marginalpdbcpt_20230102.1,native_1h
2023-01-02,6,63.22,63.22,marginalpdbcpt_20230102.1,native_1h
2023-01-02,7,85.0,85.0,marginalpdbcpt_20230102.1,native_1h
2023-01-02,8,105.36,105.36,marginalpdbcpt_20230102.1,native_1h
2023-01-02,9,119.46,131.0,marginalpdbcpt_20230102.1,native_1h
2023-01-02,10,120.14,131.58,marginalpdbcpt_20230102.1,native_1h
2023-01-02,11,121.21,127.0,marginalpdbcpt_20230102.1,native_1h
2023-01-02,12,125.0,126.07,marginalpdbcpt_20230102.1,native_1h
2023-01-02,13,126.75,127.0,marginalpdbcpt_20230102.1,native_1h
2023-01-02,14,126.75,130.0,marginalpdbcpt_20230102.1,native_1h
2023-01-02,15,128.0,131.0,marginalpdbcpt_20230102.1,native_1h
2023-01-02,16,128.0,128.0,marginalpdbcpt_20230102.1,native_1h
2023-01-02,17,129.0,131.88,marginalpdbcpt_20230102.1,native_1h
2023-01-02,18,140.0,160.0,marginalpdbcpt_20230102.1,native_1h
2023-01-02,19,174.74,174.74,marginalpdbcpt_20230102.1,native_1h
2023-01-02,20,165.76,165.76,marginalpdbcpt_20230102.1,native_1h
2023-01-02,21,153.0,153.0,marginalpdbcpt_20230102.1,native_1h
2023-01-02,22,141.67,141.67,marginalpdbcpt_20230102.1,native_1h
2023-01-02,23,134.91,134.91,marginalpdbcpt_20230102.1,native_1h
2023-01-02,24,124.22,124.22,marginalpdbcpt_20230102.1,native_1h
2023-01-03,1,130.01,130.01,marginalpdbcpt_20230103.1,native_1h
2023-01-03,2,120.0,120.0,marginalpdbcpt_20230103.1,native_1h
2023-01-03,3,118.76,118.76,marginalpdbcpt_20230103.1,native_1h
2023-01-03,4,115.0,115.0,marginalpdbcpt_20230103.1,native_1h
2023-01-03,5,113.63,113.63,marginalpdbcpt_20230103.1,native_1h
2023-01-03,6,116.27,116.27,marginalpdbcpt_20230103.1,native_1h
2023-01-03,7,138.92,138.92,marginalpdbcpt_20230103.1,native_1h
2023-01-03,8,142.11,155.59,marginalpdbcpt_20230103.1,native_1h
2023-01-03,9,148.56,169.17,marginalpdbcpt_20230103.1,native_1h
2023-01-03,10,158.89,171.18,marginalpdbcpt_20230103.1,native_1h
2023-01-03,11,154.9,154.9,marginalpdbcpt_20230103.1,native_1h
2023-01-03,12,146.71,146.71,marginalpdbcpt_20230103.1,native_1h
2023-01-03,13,133.33,133.33,marginalpdbcpt_20230103.1,native_1h
2023-01-03,14,130.0,130.0,marginalpdbcpt_20230103.1,native_1h
2023-01-03,15,126.0,126.0,marginalpdbcpt_20230103.1,native_1h
2023-01-03,16,120.0,120.0,marginalpdbcpt_20230103.1,native_1h
2023-01-03,17,135.56,135.56,marginalpdbcpt_20230103.1,native_1h
2023-01-03,18,156.3,156.3,marginalpdbcpt_20230103.1,native_1h
2023-01-03,19,169.01,169.01,marginalpdbcpt_20230103.1,native_1h
2023-01-03,20,160.99,160.99,marginalpdbcpt_20230103.1,native_1h
2023-01-03,21,152.1,152.1,marginalpdbcpt_20230103.1,native_1h
2023-01-03,22,149.92,149.92,marginalpdbcpt_20230103.1,native_1h
2023-01-03,23,132.53,132.53,marginalpdbcpt_20230103.1,native_1h
2023-01-03,24,115.0,115.0,marginalpdbcpt_20230103.1,native_1h
2023-01-04,1,119.99,119.99,marginalpdbcpt_20230104.1,native_1h
2023-01-04,2,100.0,100.0,marginalpdbcpt_20230104.1,native_1h
2023-01-04,3,90.23,90.23,marginalpdbcpt_20230104.1,native_1h
2023-01-04,4,84.2,84.2,marginalpdbcpt_20230104.1,native_1h
2023-01-04,5,80.23,80.23,marginalpdbcpt_20230104.1,native_1h
2023-01-04,6,87.31,87.31,marginalpdbcpt_20230104.1,native_1h
2023-01-04,7,109.0,109.0,marginalpdbcpt_20230104.1,native_1h
2023-01-04,8,105.1,105.1,marginalpdbcpt_20230104.1,native_1h
2023-01-04,9,134.16,134.16,marginalpdbcpt_20230104.1,native_1h
2023-01-04,10,129.3,129.3,marginalpdbcpt_20230104.1,native_1h
2023-01-04,11,120.7,120.7,marginalpdbcpt_20230104.1,native_1h
2023-01-04,12,96.77,96.77,marginalpdbcpt_20230104.1,native_1h
2023-01-04,13,105.03,105.03,marginalpdbcpt_20230104.1,native_1h
2023-01-04,14,106.0,106.0,marginalpdbcpt_20230104.1,native_1h
2023-01-04,15,105.07,105.07,marginalpdbcpt_20230104.1,native_1h
2023-01-04,16,103.9,103.9,marginalpdbcpt_20230104.1,native_1h
2023-01-04,17,107.98,107.98,marginalpdbcpt_20230104.1,native_1h
2023-01-04,18,129.82,129.82,marginalpdbcpt_20230104.1,native_1h
2023-01-04,19,167.29,167.29,marginalpdbcpt_20230104.1,native_1h
2023-01-04,20,160.6,160.6,marginalpdbcpt_20230104.1,native_1h
2023-01-04,21,151.55,151.55,marginalpdbcpt_20230104.1,native_1h
2023-01-04,22,140.61,140.61,marginalpdbcpt_20230104.1,native_1h
2023-01-04,23,126.58,126.58,marginalpdbcpt_20230104.1,native_1h
2023-01-04,24,104.75,104.75,marginalpdbcpt_20230104.1,native_1h
2023-01-05,1,95.05,95.05,marginalpdbcpt_20230105.1,native_1h
2023-01-05,2,79.21,79.21,marginalpdbcpt_20230105.1,native_1h
2023-01-05,3,68.07,68.07,marginalpdbcpt_20230105.1,native_1h
2023-01-05,4,64.27,64.27,marginalpdbcpt_20230105.1,native_1h
2023-01-05,5,61.97,61.97,marginalpdbcpt_20230105.1,native_1h
2023-01-05,6,65.1,65.1,marginalpdbcpt_20230105.1,native_1h
2023-01-05,7,95.05,95.05,marginalpdbcpt_20230105.1,native_1h
2023-01-05,8,108.23,108.23,marginalpdbcpt_20230105.1,native_1h
2023-01-05,9,118.9,135.0,marginalpdbcpt_20230105.1,native_1h
2023-01-05,10,123.27,123.27,marginalpdbcpt_20230105.1,native_1h
2023-01-05,11,104.97,104.97,marginalpdbcpt_20230105.1,native_1h
2023-01-05,12,113.53,113.53,marginalpdbcpt_20230105.1,native_1h
2023-01-05,13,100.82,100.82,marginalpdbcpt_20230105.1,native_1h
2023-01-05,14,96.44,96.44,marginalpdbcpt_20230105.1,native_1h
2023-01-05,15,93.9,93.9,marginalpdbcpt_20230105.1,native_1h
2023-01-05,16,91.16,91.16,marginalpdbcpt_20230105.1,native_1h
2023-01-05,17,94.43,94.43,marginalpdbcpt_20230105.1,native_1h
2023-01-05,18,118.9,118.9,marginalpdbcpt_20230105.1,native_1h
2023-01-05,19,163.2,163.2,marginalpdbcpt_20230105.1,native_1h
2023-01-05,20,177.98,177.98,marginalpdbcpt_20230105.1,native_1h
2023-01-05,21,163.99,163.99,marginalpdbcpt_20230105.1,native_1h
2023-01-05,22,152.0,152.0,marginalpdbcpt_20230105.1,native_1h
2023-01-05,23,135.0,135.0,marginalpdbcpt_20230105.1,native_1h
2023-01-05,24,118.9,118.9,marginalpdbcpt_20230105.1,native_1h
2023-01-06,1,107.21,107.21,marginalpdbcpt_20230106.1,native_1h
2023-01-06,2,101.1,101.1,marginalpdbcpt_20230106.1,native_1h
2023-01-06,3,96.73,96.73,marginalpdbcpt_20230106.1,native_1h
2023-01-06,4,81.37,81.37,marginalpdbcpt_20230106.1,native_1h
2023-01-06,5,75.75,75.75,marginalpdbcpt_20230106.1,native_1h
2023-01-06,6,81.0,81.0,marginalpdbcpt_20230106.1,native_1h
2023-01-06,7,97.45,97.45,marginalpdbcpt_20230106.1,native_1h
2023-01-06,8,107.82,107.82,marginalpdbcpt_20230106.1,native_1h
2023-01-06,9,122.8,122.8,marginalpdbcpt_20230106.1,native_1h
2023-01-06,10,125.0,125.0,marginalpdbcpt_20230106.1,native_1h
2023-01-06,11,120.7,120.7,marginalpdbcpt_20230106.1,native_1h
2023-01-06,12,110.05,110.05,marginalpdbcpt_20230106.1,native_1h
2023-01-06,13,103.36,103.36,marginalpdbcpt_20230106.1,native_1h
2023-01-06,14,90.23,90.23,marginalpdbcpt_20230106.1,native_1h
2023-01-06,15,80.23,80.23,marginalpdbcpt_20230106.1,native_1h
2023-01-06,16,70.0,70.0,marginalpdbcpt_20230106.1,native_1h
2023-01-06,17,80.43,80.43,marginalpdbcpt_20230106.1,native_1h
2023-01-06,18,121.2,121.2,marginalpdbcpt_20230106.1,native_1h
2023-01-06,19,128.47,128.47,marginalpdbcpt_20230106.1,native_1h
2023-01-06,20,137.73,137.73,marginalpdbcpt_20230106.1,native_1h
2023-01-06,21,137.73,137.73,marginalpdbcpt_20230106.1,native_1h
2023-01-06,22,132.0,132.0,marginalpdbcpt_20230106.1,native_1h
2023-01-06,23,99.9,99.9,marginalpdbcpt_20230106.1,native_1h
2023-01-06,24,91.1,91.1,marginalpdbcpt_20230106.1,native_1h
2023-01-07,1,53.42,53.42,marginalpdbcpt_20230107.1,native_1h
2023-01-07,2,40.3,40.3,marginalpdbcpt_20230107.1,native_1h
2023-01-07,3,25.5,25.5,marginalpdbcpt_20230107.1,native_1h
2023-01-07,4,24.8,24.8,marginalpdbcpt_20230107.1,native_1h
2023-01-07,5,20.0,20.0,marginalpdbcpt_20230107.1,native_1h
2023-01-07,6,14.85,14.85,marginalpdbcpt_20230107.1,native_1h
2023-01-07,7,14.85,14.85,marginalpdbcpt_20230107.1,native_1h
2023-01-07,8,14.0,14.0,marginalpdbcpt_20230107.1,native_1h
2023-01-07,9,18.28,18.28,marginalpdbcpt_20230107.1,native_1h
2023-01-07,10,20.2,20.2,marginalpdbcpt_20230107.1,native_1h
2023-01-07,11,18.28,18.28,marginalpdbcpt_20230107.1,native_1h
2023-01-07,12,14.0,14.0,marginalpdbcpt_20230107.1,native_1h
2023-01-07,13,10.35,10.35,marginalpdbcpt_20230107.1,native_1h
2023-01-07,14,8.0,8.0,marginalpdbcpt_20230107.1,native_1h
2023-01-07,15,5.46,5.46,marginalpdbcpt_20230107.1,native_1h
2023-01-07,16,4.16,4.16,marginalpdbcpt_20230107.1,native_1h
2023-01-07,17,8.0,8.0,marginalpdbcpt_20230107.1,native_1h
2023-01-07,18,24.61,24.61,marginalpdbcpt_20230107.1,native_1h
2023-01-07,19,40.0,40.0,marginalpdbcpt_20230107.1,native_1h
2023-01-07,20,43.45,43.45,marginalpdbcpt_20230107.1,native_1h
2023-01-07,21,50.0,50.0,marginalpdbcpt_20230107.1,native_1h
2023-01-07,22,43.45,43.45,marginalpdbcpt_20230107.1,native_1h
2023-01-07,23,30.0,30.0,marginalpdbcpt_20230107.1,native_1h
2023-01-07,24,24.61,24.61,marginalpdbcpt_20230107.1,native_1h
2023-01-08,1,7.0,7.0,marginalpdbcpt_20230108.1,native_1h
2023-01-08,2,5.0,5.0,marginalpdbcpt_20230108.1,native_1h
2023-01-08,3,4.2,4.2,marginalpdbcpt_20230108.1,native_1h
2023-01-08,4,4.16,4.16,marginalpdbcpt_20230108.1,native_1h
2023-01-08,5,4.16,4.16,marginalpdbcpt_20230108.1,native_1h
2023-01-08,6,4.16,4.16,marginalpdbcpt_20230108.1,native_1h
2023-01-08,7,4.16,4.16,marginalpdbcpt_20230108.1,native_1h
2023-01-08,8,4.16,4.16,marginalpdbcpt_20230108.1,native_1h
2023-01-08,9,4.16,4.16,marginalpdbcpt_20230108.1,native_1h
2023-01-08,10,5.0,5.0,marginalpdbcpt_20230108.1,native_1h
2023-01-08,11,5.1,5.1,marginalpdbcpt_20230108.1,native_1h
2023-01-08,12,5.05,5.05,marginalpdbcpt_20230108.1,native_1h
2023-01-08,13,4.9,4.9,marginalpdbcpt_20230108.1,native_1h
2023-01-08,14,5.0,5.0,marginalpdbcpt_20230108.1,native_1h
